subject,item,condition,correct,start,end,answer,accuracy
22,4,2,4,2082384,2086797,4,1
22,5,2,2,2087459,2089680,2,1
22,6,1,1,2679240,2684710,1,1
22,7,1,1,2685372,2693119,1,1
22,8,1,2,2693781,2698768,2,1
22,9,1,4,2699430,2703168,4,1
22,10,1,1,2703831,2707951,1,1
23,6,2,1,2769437,2778441,1,1
23,7,2,1,2779103,2790682,1,1
23,8,2,2,2791344,2803123,2,1
23,9,2,4,2803786,2810748,2,0
23,10,2,1,2811411,2817606,1,1
23,1,1,3,3619078,3631505,2,0
23,2,1,1,3632168,3637938,1,1
23,3,1,1,3638600,3644971,1,1
23,4,1,4,3645634,3652713,4,1
23,5,1,2,3653374,3657279,2,1
24,6,1,1,1041786,1049206,1,1
24,7,1,1,1049868,1071705,1,1
24,8,1,2,1072367,1079755,2,1
24,9,1,4,1080417,1084788,4,1
24,10,1,1,1085451,1092171,1,1
24,1,2,3,1959745,1967807,3,1
24,2,2,1,1968470,1979198,1,1
24,3,2,1,1979862,1992206,2,0
24,4,2,4,1992869,1998956,4,1
24,5,2,2,1999619,2007297,2,1
25,6,2,1,1056137,1061566,1,1
25,7,2,1,1062229,1068290,1,1
25,8,2,2,1068953,1072624,2,1
25,9,2,4,1073286,1077040,4,1
25,10,2,1,1077702,1082423,1,1
25,1,1,3,1511164,1514975,3,1
25,2,1,1,1515637,1521116,1,1
25,3,1,1,1521779,1525258,1,1
25,4,1,4,1525920,1529449,4,1
25,5,1,2,1530112,1532774,2,1
26,1,2,3,8294278,8302558,3,1
26,2,2,1,8303220,8309341,1,1
26,3,2,1,8310003,8315741,1,1
26,4,2,4,8316402,8321624,4,1
26,5,2,2,8322286,8325682,2,1
26,6,1,1,8886068,8892688,1,1
26,7,1,1,8893351,8898705,1,1
26,8,1,2,8899368,8905446,2,1
26,9,1,4,8906110,8909746,4,1
26,10,1,1,8910409,8917163,1,1
27,6,2,1,1709807,1720002,2,0
27,7,2,1,1720665,1734335,1,1
27,8,2,2,1734997,1741768,2,1
27,9,2,4,1742431,1745951,4,1
27,10,2,1,1746614,1753476,1,1
27,1,1,3,2318411,2325031,3,1
27,2,1,1,2325694,2331006,1,1
27,3,1,1,2331669,2340014,1,1
27,4,1,4,2340677,2345531,4,1
27,5,1,2,2346193,2350055,2,1
28,6,1,1,1231149,1249068,1,1
28,7,1,1,1249730,1255409,1,1
28,8,1,2,1256072,1266642,2,1
28,9,1,4,1267304,1271217,4,1
28,10,1,1,1271879,1278250,1,1
28,1,2,3,1860194,1866056,3,1
28,2,2,1,1866720,1872331,1,1
28,3,2,1,1872993,1876448,1,1
28,4,2,4,1877110,1881206,4,1
28,5,2,2,1881869,1885281,2,1
29,1,1,3,1600264,1610284,3,1
29,2,1,1,1610947,1618342,1,1
29,3,1,1,1619005,1624300,1,1
29,4,1,4,1624963,1633017,4,1
29,5,1,2,1633680,1639033,2,1
29,6,2,1,2551158,2560795,1,1
29,7,2,1,2561457,2574245,1,1
29,8,2,2,2574907,2581611,2,1
29,9,2,4,2582273,2586753,4,1
29,10,2,1,2587415,2594044,1,1
30,1,2,3,6689435,6694955,3,1
30,2,2,1,6695617,6701480,1,1
30,3,2,1,6702143,6706988,1,1
30,4,2,4,6707651,6712388,4,1
30,5,2,2,6713050,6716771,2,1
30,6,1,1,7175401,7180289,1,1
30,7,1,1,7180952,7188472,1,1
30,8,1,2,7189134,7194555,2,1
30,9,1,4,7195218,7198771,4,1
30,10,1,1,7199434,7204488,1,1
31,6,2,1,1137175,1150529,1,1
31,7,2,1,1151191,1163428,1,1
31,8,2,2,1164090,1170836,2,1
31,9,2,4,1171499,1175545,4,1
31,10,2,1,1176207,1182461,1,1
31,1,1,3,1846361,1853090,3,1
31,2,1,1,1853752,1859373,1,1
31,3,1,1,1860036,1867123,1,1
31,4,1,4,1867785,1874031,4,1
31,5,1,2,1874694,1879381,2,1
32,6,1,1,2047366,2057578,1,1
32,7,1,1,2058240,2069403,3,0
32,8,1,2,2070065,2074594,2,1
32,9,1,4,2075258,2079161,4,1
32,10,1,1,2079824,2085386,1,1
32,1,2,3,2556824,2565627,3,1
32,2,2,1,2566290,2570810,1,1
32,3,2,1,2571473,2576293,1,1
32,4,2,4,2576957,2581835,4,1
32,5,2,2,2582497,2585843,2,1
